Mpogpile	山000001	山	0.0322
Mp1tbx6d	森000002	森	0.0531
Mpf7xbc6	山000003	山	0.0315
Mpsovp1g	山000004	山	0.0612
Mp68l28u	森000005	森	0.0285
Mpju9f12	平原000006	平原	0.0355
Mpxiarcr	森000007	森	0.0376
Mpb9336k	平原000008	平原	0.0605
Mpp1uel7	森000009	森	0.0379
Mp2xcphy	山00000a	山	0.0886
Mpgutzzj	山00000b	山	0.0894
Mpuuoa0l	山00000c	山	0.0838
Mp8x9jjr	平原00000d	平原	0.0723
Mpn1tsnr	平原00000e	平原	0.0860
Mp19519v	山00000f	山	0.0339
Mpfif9gt	平原00000g	平原	0.0563
Mptu2h78	平原00000h	平原	0.0295
Mp88gofr	森00000i	森	0.0339
Mpmotv94	森00000j	森	0.0752
Mp17y1kl	平原00000k	平原	0.0497
Mpft17gw	山00000l	山	0.0719
Mpughcwo	平原00000m	平原	0.0174
Mp96ohuk	山00000n	山	0.0842
Mpnyumda	山00000o	山	0.0784
Mp2trqe4	森00000p	森	0.0306
Mphqntzs	森00000q	森	0.0595
Mpwpwx4x	平原00000r	平原	0.0987
Mpbrwzs6	森00000s	森	0.0972
Mpqvw209	平原00000t	平原	0.0371
Mp62m3qg	平原00000u	平原	0.0570
Mplbb51h	森00000v	森	0.0456
Mp0mr5um	山00000w	山	0.0872
Mpg0668l	森00000x	森	0.0969
Mpvfy661	平原00000y	平原	0.0725
Mpayh5ll	森00000z	森	0.0109
Mpqiz4lz	山000010	山	0.0245
Mp66834h	森000011	森	0.0447
Mplvg17t	森000012	森	0.0839
Mp1neyt9	森000013	森	0.0981
Mphhcvzj	森000014	森	0.0247
Mpxdnspa	平原000015	平原	0.0547
Mpdcpox5	森000016	森	0.0150
Mptdqkpu	山000017	山	0.0378
Mp9hig0n	森000018	森	0.0659
Mppn9awa	山000019	山	0.0890
Mp5vr5a1	森00001a	森	0.0154
Mpm67z8m	山00001b	山	0.0991
Mp2jfspb	森00001c	森	0.0204
Mpiymlqu	平原00001d	平原	0.0862
Mpzg6ebu	森00001e	森	0.0404
Mpg0h6ey	森00001f	森	0.0593
Mpwmqy2w	森00001g	森	0.0300
Mpdbrp8y	森00001h	森	0.0665
Mpu2rfzu	山00001i	山	0.0806
Mpawi68u	森00001j	森	0.0110
Mprs7w2o	平原00001k	平原	0.0438
Mp8qolem	森00001l	森	0.0850
Mppr4abe	山00001m	山	0.0741
Mp6uayqa	森00001n	森	0.0930
Mpnzgmq0	森00001o	森	0.0887
Mp57da7u	山00001p	山	0.0660
Mpmh8xai	平原00001q	平原	0.0272
Mp3tvjva	山00001r	山	0.0910
Mpl8h60w	山00001s	山	0.0515
Mp2ptrom	森00001t	森	0.0406
Mpk95cx6	平原00001u	平原	0.0924
Mp1v7xnu	平原00001v	平原	0.0281
Mpjj9hzc	森00001w	森	0.0804
Mp1a21sy	平原00001x	平原	0.0242
Mpj2tl7e	平原00001y	平原	0.0886
Mp0yc43y	森00001z	森	0.0718
Mpivtmlc	山000020	山	0.0348
Mp0w24ku	平原000021	平原	0.0624
Mpiy9m56	山000022	山	0.0555
Mp13837m	山000023	山	0.0747
Mpja5juw	山000024	山	0.0270
Mp1ju00a	平原000025	平原	0.0280
Mpjvhfqi	平原000026	平原	0.0612
Mp29vuyu	山000027	山	0.0221
Mpkq99s0	森000028	森	0.0271
Mp39do3a	山000029	山	0.0723
Mpluh1ze	山00002a	山	0.0773
Mp4ibfdm	森00002b	森	0.0627
Mpn84sco	山00002c	山	0.0240
Mp60p4tu	平原00002d	平原	0.0416
Mpov8gvu	森00002e	森	0.0218
Mp7sisfy	山00002f	山	0.0500
Mpqrs3kw	森00002g	森	0.0252
Mp9tse7y	森00002h	森	0.0469
Mpsxrofu	森00002i	森	0.0832
Mpc4hy5u	森00002j	森	0.0204
Mpvd77go	平原00002k	平原	0.0172
Mpeong9m	平原00002l	平原	0.0382
Mpy22one	平原00002m	平原	0.0830
Mphi8wja	平原00002n	平原	0.0404
Mp10s3yn	平原00002o	平原	0.0766
Mpklaayu	山00002p	山	0.0618
Mp48jhh5	山00002q	山	0.0964
Mpnxrnka	山00002r	山	0.0337
Mp7pqt5j	森00002s	森	0.0719
Mprjoybm	平原00002t	平原	0.0918
Mpbge2zt	平原00002u	平原	0.0439
Mpvf278u	森00002v	森	0.0859
Mpfghazz	山00002w	山	0.0335
Mpzjveby	平原00002x	平原	0.0213
Mpjq0h61	平原00002y	平原	0.0627
Mp3yijjl	山00002z	山	0.0730
Mpo8zlhz	平原000030	平原	0.0748
Mp8m7myh	山000031	山	0.0148
Mpt1enzt	平原000032	平原	0.0990
Mpdjcoj9	森000033	森	0.0888
Mpy39onj	平原000034	平原	0.0826
Mpipxo9x	森000035	森	0.0897
Mp3eynfs	森000036	森	0.0493
Mpo5ym6h	森000037	森	0.0821
Mp8zpkfa	森000038	森	0.0454
Mptvfi8x	平原000039	平原	0.0161
Mpetwfko	森00003a	森	0.0175
Mpzucch9	平原00003b	平原	0.0306
Mpkxj8vy	山00003c	山	0.0227
Mp6334u4	平原00003d	平原	0.0484
Mpram0d4	平原00003e	平原	0.0842
Mpckvve8	森00003f	森	0.0266
Mpxx4q06	平原00003g	平原	0.0752
Mpjc4k48	森00003h	森	0.0198
Mp4thdrr	山00003i	山	0.0126
Mpqct704	山00003j	山	0.0904
Mpbyvzql	森00003k	森	0.0409
Mpxmxs1w	森00003l	森	0.0882
Mpjdqjvb	森00003m	森	0.0387
Mp56wb87	森00003n	森	0.0846
Mpr2125x	森00003o	森	0.0247
Mpczwslr	森00003p	森	0.0697
Mpyzrimf	森00003q	森	0.0846
Mpl2d857	森00003r	森	0.0310
Mp77bx7g	森00003s	森	0.0152
Mpte9luj	森00003t	森	0.0608
Mpfny9zq	平原00003u	平原	0.0176
Mp1zzxoe	山00003v	山	0.0774
Mpoe0kxw	平原00003w	平原	0.0466
Mpaus7pi	平原00003x	平原	0.0437
Mpxdiu1y	山00003y	山	0.0966
Mpjz0fwi	山00003z	山	0.0383
Mp6mv1aj	山000040	山	0.0704
Mptcom9e	平原000041	平原	0.0635
Mpg596qd	平原000042	平原	0.0945
Mp306qqt	山000043	山	0.0729
Mppx3ac3	森000044	森	0.0602
Mpcwqtfh	山000045	山	0.0780
Mpzydc3p	森000046	森	0.0167
Mpn2qua1	山000047	山	0.0381
Mpa9hbzu	平原000048	平原	0.0354
Mpxi6tah	森000049	森	0.0459
Mpktna38	平原00004a	平原	0.0359
Mp87gqfg	平原00004b	平原	0.0599
Mpvn96ci	平原00004c	平原	0.0875
Mpj5slro	平原00004d	平原	0.0226
Mp6qp0qb	森00004e	森	0.0707
Mpudkf9s	山00004f	山	0.0366
Mpi36tbd	森00004g	森	0.0297
Mp5v66wf	森00004h	森	0.0921
Mptp4k2b	森00004i	森	0.0624
Mphltwqb	山00004j	山	0.0502
Mp5kw8xs	山00004k	山	0.0621
Mptlxkq3	山00004l	山	0.0770
Mphppw0i	平原00004m	平原	0.0525
Mp5vv6ue	山00004n	山	0.0655
Mpu3zh94	山00004o	山	0.0414
Mpieur5y	森00004p	森	0.0368
Mp6s30m9	森00004q	森	0.0969
Mpv7a9ne	山00004r	山	0.0169
Mpjp8i6n	山00004s	山	0.0421
Mp89jq9d	森00004t	森	0.0838
Mpwvtxwx	山00004u	山	0.0292
Mplkv52l	森00004v	森	0.0668
Mpac9brq	山00004w	山	0.0880
Mpz5mi1p	平原00004x	平原	0.0648
Mpo1qnts	森00004y	森	0.0155
Mpd07t5c	平原00004z	平原	0.0719
Mp211y0d	森000050	森	0.0968
Mpr3v2g8	森000051	森	0.0475
